"THE SOLAR SYSTEM","None","Objects that pass closer to the sun than Mercury have been named for this mythological figure","Icarus"
"HOLIDAY HISTORY","None","Cuba removed Christmas from its list of national holidays in 1969 & restored it in 1997 in anticipation of a visit by this man","Pope John Paul II"
"AMERICAN LITERATURE","None","The title of this novella that won the 1953 Pulitzer Prize consists of 6 words, each of which is 3 letters long","\"The Old Man and the Sea\""
"FAMOUS SHIPS","None","In December 1620 this vessel came ashore at a secondary destination because of a shortage of beer","the Mayflower"
"HISTORIC OCCASIONS","None","On December 1, 1990 Philippe Cozette & Graham Fagg had a historic handshake here","the Chunnel (train tunnel under the English Channel between England & France)"
"HISTORIC QUOTES","None","One month prior to his hanging on December 2, 1859, he said that he had no design to "excite slaves to rebel"","John Brown"
"CLASSIC ROCK","None","As there was another album by that title, this classic from 1973 was at one point going to be called "Eclipse"","The Dark Side of the Moon (by Pink Floyd)"
"PRESIDENTIAL FACTS","None","FDR called it the Sacred Cow; for Truman it was Independence; for Eisenhower, the Columbine; & from JFK on, this","Air Force One"
"ENTREPRENEURS","None","In 1991 he flew the Pacific in the "Virgin Otsuka Pacific Flyer", the world's largest hot-air balloon","Richard Branson"
"FAMOUS COUPLES","None","The inscription on their crypt reads "Together Again" with the dates 1902-1964 & 1896-1996","George Burns & Gracie Allen"
"AMERICANA","None","The first 24-hour 7-Eleven opened in 1963 in this city","Las Vegas"
"NATIVE AMERICANS","None","Before this great chief died in 1877, he reportedly prophesied, "I will return to you in stone"","Crazy Horse"
"CITY & STATE","None","Founded in 1801 & famous for its university, it's nicknamed "The Classic City of the South"","Athens, Georgia"
"RIVERS","None","The single greatest source of water power in the U.S. is on this river","The Columbia River (Grand Coulee Dam)"
"THE NFL","None","It's the only NFL team to play its home games out-of-state in a stadium named for another team","the New York Jets"
"PRESIDENTIAL VETOES","None","Of the 21 regular vetoes by this 19th century president, 15 were overridden, the highest reversal total for any president","Andrew Johnson"
"U.S. CITIES","None","Among its sister cities are Dubai, United Arab Emirates; Turin, Italy; & Toyota City, Japan","Detroit"
"MEDICAL CONDITIONS","None","Named for the outline it commonly produces, it affects about 40 million U.S. men","Male Pattern Baldness"
"MUSICAL HISTORY","None","It's the nursery rhyme that inspired the title of a famous musical based on a 1913 G.B. Shaw work","London Bridge"
"AMERICAN HISTORY","None","Lincoln said it was "the central act of my administration & the greatest event of the 19th century"","the Emancipation Proclamation"
"WORLD TRAVEL","None","If you want to visit this country, you can fly into Sunan International Airport or... or not visit this country","North Korea"
"OLYMPIC CITIES","None","1 of 2 current national capitals that have hosted the Winter Olympics","Oslo, Norway or Sarajevo, Bosnia-Herzegovina"
"OSCAR NOMINEES","None","Nominated for an Oscar in 1998, she was an original founding member of the Screen Actors Guild","Gloria Stuart"
"HISTORIC NAMES","None","A midshipman at age 9, he served in the War of 1812 at age 11, & became a Civil War hero while in his 60s","David Farragut"
"THE AMERICAS","None","Westernmost national capital in the Americas","Mexico City"
"WORD ORIGINS","None","This word that begins with the Greek word for "all" was coined by John Milton & means "tumultuous disorder"","pandemonium"
""C"INEMA","None","2 movies whose 1-word titles are cities; they won the Oscar for Best Picture, 59 years apart","Casablanca & Chicago"
"ROMAN EMPERORS","None","In 59 A.D. Agrippina wrote to this man, her son, "Tell me why I should plot against your life?"--she was killed anyway","Nero"
"SPORTS LEGENDS","None","Retired since 1977, he said, "All I can say is I'm glad I never had to go up against Mia Hamm"","Pele"
"BY THE NUMBERS","None","In the 1800s Carl Wunderlich got this number by averaging over a million readings from armpits of 25,000 patients","98.6 degrees"
"AMERICAN HISTORY","None","He was born in Connecticut in 1800 & hanged for treason in Virginia in 1859","John Brown"
"MACHINES","None","This type of machine, in the news in 1987, was developed in the '70s from a noodle-making device","Paper shredder"
"U.S. GEOLOGY","None","This 800-mile-long feature was discovered & named by Andrew Lawson","San Andreas Fault"
"THE SOLAR SYSTEM","None","One of the 2 moons in our solar system larger than Mercury; one orbits Jupiter & one orbits Saturn","(1 of) Ganymede & Titan"
"CLASSICAL MUSICIANS","None","In 1793, Haydn wrote he will be "one of Europe's finest composers, & I shall be proud to be called his teacher"","Ludwig van Beethoven"
"2010 SCIENCE NEWS","None","The IUPAC named an element for this man born in 1473 to "highlight the link between astronomy and... nuclear chemistry"","Copernicus"
"THE OSCARS","None","Winning Best Actress Oscars in 1964 & 65, these 2 British-born actresses share the same 1st name","Julie Andrews & Julie Christie"
"THE SOLAR SYSTEM","None","The 2 planets that have no moons","Mercury & Venus"
"THE CENSUS","None","2 of the 4 U.S. states with a population density greater than 500 people per square mile","(2 of) Connecticut, Massachusetts, New Jersey & Rhode Island"
"20th CENTURY SCIENCE","None","The 1970s saw the coining of the term "runner's high" & the discovery of these opiate proteins that produce it","endorphins"
"SEPTEMBER 1984","None","History-making woman whose Sept. 1984 itinerary included speeches in Dallas, Spokane, Syracuse & Youngstown","Geraldine Ferraro"
"ARTISTS","None","The 2 famous painters who share a March 30 birthday, one born in Spain in 1746, the other in Holland in 1853","Goya & Van Gogh"
"WORLD FLAGS","None","This Mediterranean country is the world's only nation whose flag bears a geographic outline of itself","Cyprus"
"JOURNALISTS","None","In 2000 the film center of the school of the Art Institute of Chicago was renamed in his honor","Gene Siskel"
"POLITICS","None","In 1999 the Bushes became the first brothers to serve as governor at the same time since these 2 brothers in 1971","Nelson & Winthrop Rockefeller"
"HANDICRAFTS","None","Supposedly made by William the Conqueror's wife, there's a 230' long copy of it in the V&A Museum","The Bayeux Tapestry"
"ISLANDS","None","1 of the 2 islands with a population exceeding 100 million; each one is part of an Asian country","(1 of) Honshu or Java"
"THE OSCARS","None","Husband and wife who won Oscars almost 30 years apart, she in 1958, he in 1987","Paul Newman & Joanne Woodward"
"GOVERNMENT FORMS","None","The title of form OSC-12 says it is used by this type of person, who's asked to "describe the agency wrongdoing"","a whistleblower"
"BUSINESS & INDUSTRY","None","It's the biggest single customer of the domestic airline industry, using about 15,000 flights a day","the US Postal Service"
"THE MILITARY","None","Foreign country in which the most American soldiers are stationed","Germany"
"PHRASES","None","It's the original meaning of the word "checkmate", or what many newspaper headlines said on August 17, 1977","\"The King Is Dead\""
"FRUIT","None","<a href="http://www.j-archive.com/media/2004-07-01_FJ.jpg" target="_blank">This</a> fruit of North America shares its name with a literary character who debuted in an 1876 novel","the huckleberry"
"THE OSCARS","None","1 of only 2 actors who directed themselves to a Best Acting Oscar","Roberto Benigni (\"Life Is Beautiful\") & Sir Laurence Olivier (\"Hamlet\")"
"ALIASES","None","Norma McCorvey recently sought a reversal to her landmark 1973 case in which she had this name","(Jane) Roe"
"WASHINGTON, D.C.","None","Some of the sculptures outside the entrance of this building depict Moses, Confucius, Solon & William Howard Taft","the Supreme Court building"
"U.S. STATES","None","This state with several hundred ghost towns was admitted to the Union on Halloween in 1864","Nevada"
"STATE CAPITALS","None","Baton Rouge & this other state capital both have 2-word French names; neither is named for a person","Des Moines"
"BUSINESS PAIRINGS","None","The names of 2 men, 1 born in Germany in 1834 & 1 in Kansas in 1875, were joined in this company name lasting 1998-2007","Daimler-Chrysler"
"AMERICAN STORIES","None","Story that begins, "Whoever has made a voyage up the Hudson must remember the Kaatskill Mountains"","\"Rip Van Winkle\""
"HOLLYWOOD HISTORY","None","They were the first 2 sisters ever nominated for the same acting Oscar in the same year","Joan Fontaine and Olivia de Havilland"
"THE U.S. MILITARY","None","This corps' motto is "Building strong"","the Army Corps of Engineers"
"19th CENTURY GOVERNORS","None","To date, he's the only person to be elected governor of 2 different states","Sam Houston"
"CARTOON CHARACTERS","None","This foe of Bugs Bunny is a marsupial","Tasmanian Devil"
"FILMS OF THE 1950s","None","In 2006 Albert II of Monaco attended the Newport Jazz Festival's 50th anniv. celebration of this film that's set during the festival","High Society"
"GOVERNMENT OFFICIALS","None","Last name of 2 brothers, one currently a cabinet secretary & one mayor of a city of several million","Daley (William M. & Richard M.)"
"MILITARY HISTORY","None","This man commanded the last organized military force to invade the lower 48 states","Pancho Villa"
"GEOGRAPHY NEWS","None","On the initiative of Sen. Patrick Leahy, in 1998 it was designated the sixth Great Lake","Lake Champlain"
"PRESIDENTIAL ELECTIONS","None","One of the 2 presidents to win the national popular vote 3 times but only be elected president twice","(1 of) Grover Cleveland & Andrew Jackson"
"THE GRAMMYS","None","In 2002 the soundtrack to this George Clooney film won album of the year, only the third to do so","O Brother, Where Art Thou"
"TRINIDADIAN AMATEUR ICHTHYOLOGISTS","None","This common aquarium fish was named for a Trinidadian clergyman","Guppy"
"LITERARY QUOTES","None","In an 1859 novel, Charles Dickens called this object "the sharp female newly-born"","the guillotine"
"SOUTH AMERICA","None","Alphabetically, they're the first & last of the 7 countries where the Andes are found","Argentina & Venezuela"
"EUROPEAN CAPITALS","None","This city was named for a Byzantine church","Sofia, Bulgaria"
"FICTIONAL CHARACTERS","None","In works written about 300 years apart, Nick Bottom & Pinocchio find themselves transformed into these","donkeys"
"SPORTS BUSINESS","None","In 1993 this man said, "What Phil & Nike have done is turn me into a dream"","Michael Jordan"
"THE BIBLE","None","This happens several times, as in I Kings 17 & Acts 20; the most famous time, it's done by Jesus in John 11","raising the dead"
"20th CENTURY AUTHORS","None","This author was born in 1926, the daughter of Amasa, an Alabama lawyer, & Frances, whose maiden name was Finch","Harper Lee"
"WORLD BUSINESS","None","The offices of N.M. Rothschild in London fix this twice every weekday, at 10:30 A.M. & 3 P.M.","the price of gold"
"INTERNATIONAL STARS","None","Since 1978 the city of Paris has funded his Ecole Internationale de Mimodrame de Paris","Marcel Marceau"
"BROADWAY","None","In 2006 this show based on a 1911 work became the longest-running show in Broadway history","Phantom Of The Opera"
